"Rk","G","Game_Location","Opp","Game_Outcome","Team_Score","Opp_Score","FG_team","FGA_team","FG_percent_team","X3P_team","X3PA_team","X3P_percent_team","FT_team","FTA_team","FT_percent_team","ORB_team","TRB_team","AST_team","STL_team","BLK_team","TOV_team","PF_team","FG_opp","FGA_opp","FG_percent_opp","X3P_opp","X3PA_opp","X3P_percent_opp","FT_opp","FTA_opp","FT_percent_opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","Date","team_name"
47,47,"Away","CHI","W",121,101,45,90,0.5,15,40,0.375,16,21,0.762,16,51,31,11,2,17,20,35,79,0.443,8,26,0.308,23,27,0.852,7,37,20,7,6,15,21,2019-01-23,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
48,48,"Away","POR","L",111,120,42,92,0.457,12,33,0.364,15,20,0.75,9,36,24,9,7,10,27,41,82,0.5,11,30,0.367,27,30,0.9,11,47,26,8,7,18,23,2019-01-26,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
49,49,"Away","LAC","W",123,118,44,87,0.506,10,34,0.294,25,29,0.862,15,44,28,7,6,17,25,41,85,0.482,10,27,0.37,26,28,0.929,13,38,27,10,4,16,26,2019-01-28,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
50,50,"Away","SAC","L",113,135,38,86,0.442,16,46,0.348,21,25,0.84,9,36,24,7,3,20,19,54,99,0.545,11,35,0.314,16,21,0.762,15,53,36,7,2,14,24,2019-01-30,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
51,51,"Away","UTA","L",112,128,39,98,0.398,14,46,0.304,20,24,0.833,8,40,23,11,4,11,27,46,87,0.529,12,35,0.343,24,30,0.8,11,51,31,4,6,15,22,2019-02-01,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
52,52,"Away","PHO","W",118,112,43,84,0.512,14,32,0.438,18,26,0.692,16,53,21,6,5,24,18,45,96,0.469,12,32,0.375,10,18,0.556,10,37,31,15,5,10,23,2019-02-02,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
53,53,"Away","WAS","W",137,129,46,91,0.505,20,40,0.5,25,29,0.862,14,50,29,7,2,12,22,48,97,0.495,12,38,0.316,21,29,0.724,13,40,34,5,8,8,20,2019-02-04,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
54,54,"Home","TOR","L",101,119,36,80,0.45,16,35,0.457,13,25,0.52,8,42,25,5,3,17,25,40,87,0.46,13,40,0.325,26,33,0.788,12,50,29,6,2,8,23,2019-02-07,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
55,55,"Home","CHO","L",120,129,46,86,0.535,14,33,0.424,14,19,0.737,10,36,26,10,3,18,18,48,88,0.545,19,42,0.452,14,18,0.778,10,37,30,12,7,13,17,2019-02-09,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
56,56,"Home","ORL","L",108,124,37,80,0.463,13,32,0.406,21,25,0.84,5,33,27,5,6,11,21,43,91,0.473,13,37,0.351,25,28,0.893,11,49,29,4,9,8,21,2019-02-10,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
57,57,"Home","LAL","W",117,113,40,92,0.435,16,42,0.381,21,26,0.808,6,47,29,8,6,20,24,41,95,0.432,14,40,0.35,17,25,0.68,10,44,25,10,6,15,24,2019-02-12,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
58,58,"Home","NYK","L",91,106,33,91,0.363,10,38,0.263,15,19,0.789,10,41,19,8,4,12,24,38,84,0.452,12,31,0.387,18,26,0.692,11,52,21,9,9,14,22,2019-02-14,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
59,59,"Home","DET","L",122,125,43,88,0.489,20,42,0.476,16,19,0.842,10,47,21,6,4,18,24,46,95,0.484,15,40,0.375,18,28,0.643,10,44,20,11,4,8,21,2019-02-22,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
60,60,"Home","PHO","W",120,112,38,92,0.413,12,33,0.364,32,38,0.842,12,50,22,8,9,13,22,41,93,0.441,13,37,0.351,17,20,0.85,6,41,25,9,4,12,29,2019-02-23,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
61,61,"Away","HOU","L",111,119,39,80,0.488,17,38,0.447,16,23,0.696,10,41,21,6,6,17,24,39,90,0.433,15,51,0.294,26,30,0.867,12,37,24,11,4,12,18,2019-02-25,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
62,62,"Home","MIN","W",131,123,46,108,0.426,12,29,0.414,27,32,0.844,18,65,32,1,6,12,25,44,102,0.431,12,38,0.316,23,33,0.697,9,47,29,8,7,6,24,2019-02-27,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
63,63,"Home","CHI","L",161,168,61,123,0.496,22,60,0.367,17,25,0.68,9,59,33,11,8,20,34,56,119,0.471,21,48,0.438,35,48,0.729,11,62,30,10,5,16,30,2019-03-01,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
64,64,"Away","CHI","W",123,118,42,89,0.472,21,42,0.5,18,28,0.643,11,46,30,10,5,13,18,47,92,0.511,8,27,0.296,16,21,0.762,9,42,25,6,5,14,20,2019-03-03,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
65,65,"Away","MIA","L",113,114,38,91,0.418,17,46,0.37,20,25,0.8,16,42,25,9,2,14,21,44,79,0.557,9,23,0.391,17,24,0.708,7,40,23,9,7,18,24,2019-03-04,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
66,66,"Home","SAS","L",104,111,36,92,0.391,13,43,0.302,19,24,0.792,11,47,21,8,2,14,18,44,89,0.494,10,33,0.303,13,18,0.722,6,49,27,4,9,16,23,2019-03-06,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
67,67,"Home","BRK","L",112,114,39,105,0.371,8,41,0.195,26,32,0.813,18,57,22,7,2,10,37,33,86,0.384,15,44,0.341,33,54,0.611,15,54,21,7,3,14,23,2019-03-09,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
68,68,"Home","NOP","W",128,116,48,98,0.49,17,37,0.459,15,18,0.833,10,56,30,4,5,9,12,45,101,0.446,18,41,0.439,8,8,1,5,42,29,6,9,8,17,2019-03-10,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
69,69,"Home","MEM","W",132,111,52,103,0.505,17,45,0.378,11,14,0.786,15,51,35,9,9,11,26,38,89,0.427,14,40,0.35,21,26,0.808,9,35,28,8,6,14,17,2019-03-13,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
70,70,"Away","BOS","L",120,129,43,100,0.43,15,40,0.375,19,24,0.792,19,50,27,11,5,17,25,44,93,0.473,13,36,0.361,28,37,0.757,11,46,30,10,7,14,21,2019-03-16,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
71,71,"Away","ORL","L",91,101,38,91,0.418,8,35,0.229,7,10,0.7,8,50,20,8,3,18,29,33,85,0.388,9,37,0.243,26,33,0.788,10,55,21,12,3,14,15,2019-03-17,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
72,72,"Home","HOU","L",105,121,39,84,0.464,15,40,0.375,12,15,0.8,8,45,30,6,1,19,23,40,78,0.513,19,47,0.404,22,30,0.733,6,37,28,13,2,14,17,2019-03-19,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
73,73,"Home","UTA","W",117,114,41,87,0.471,19,40,0.475,16,23,0.696,9,43,26,8,5,16,23,43,94,0.457,10,32,0.313,18,26,0.692,14,49,25,12,3,15,24,2019-03-21,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
74,74,"Home","PHI","W",129,127,49,106,0.462,15,47,0.319,16,21,0.762,15,49,28,8,7,12,25,42,91,0.462,10,23,0.435,33,39,0.846,14,52,21,7,4,13,15,2019-03-23,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
75,75,"Away","NOP","W",130,120,44,97,0.454,19,51,0.373,23,26,0.885,9,41,30,13,4,16,26,39,83,0.47,12,34,0.353,30,40,0.75,8,45,28,10,6,24,23,2019-03-26,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
76,76,"Home","POR","L",98,118,38,94,0.404,9,38,0.237,13,14,0.929,8,41,20,5,7,10,22,45,96,0.469,9,32,0.281,19,22,0.864,10,55,19,4,4,9,9,2019-03-29,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
77,77,"Home","MIL","W",136,135,52,118,0.441,22,61,0.361,10,17,0.588,15,58,36,10,10,9,13,48,116,0.414,17,55,0.309,22,23,0.957,22,71,30,6,3,16,20,2019-03-31,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
78,78,"Away","SAS","L",111,117,43,94,0.457,12,34,0.353,13,20,0.65,11,43,26,13,2,11,18,42,80,0.525,14,30,0.467,19,22,0.864,4,45,23,6,6,16,17,2019-04-02,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
79,79,"Home","PHI","W",130,122,48,92,0.522,12,36,0.333,22,28,0.786,11,44,29,7,7,11,26,45,98,0.459,10,31,0.323,22,38,0.579,26,57,27,8,4,13,24,2019-04-03,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
80,80,"Away","ORL","L",113,149,41,94,0.436,10,39,0.256,21,31,0.677,10,38,21,16,4,14,21,56,92,0.609,18,37,0.486,19,25,0.76,9,54,35,11,4,19,24,2019-04-05,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
81,81,"Away","MIL","L",107,115,40,100,0.4,17,45,0.378,10,19,0.526,9,48,25,2,3,11,28,40,91,0.44,9,41,0.22,26,34,0.765,11,61,19,8,10,14,23,2019-04-07,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
82,82,"Home","IND","L",134,135,43,103,0.417,17,41,0.415,31,38,0.816,22,61,29,5,7,17,25,45,98,0.459,12,30,0.4,33,39,0.846,13,43,22,12,7,8,28,2019-04-10,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
1,1,"Home","PHI","W",105,87,42,97,0.433,11,37,0.297,10,14,0.714,12,55,21,7,5,14,20,34,87,0.391,5,26,0.192,14,23,0.609,6,47,18,8,5,16,20,2018-10-16,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
2,2,"Away","TOR","L",101,113,40,99,0.404,14,36,0.389,7,10,0.7,16,49,29,4,6,14,27,43,92,0.467,13,35,0.371,14,19,0.737,12,49,24,3,3,12,19,2018-10-19,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
3,3,"Away","NYK","W",103,101,33,82,0.402,9,25,0.36,28,33,0.848,11,47,21,8,2,15,26,36,87,0.414,12,35,0.343,17,27,0.63,11,46,23,8,1,16,25,2018-10-20,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
4,4,"Home","ORL","L",90,93,37,91,0.407,9,40,0.225,7,9,0.778,9,51,21,6,3,12,15,38,93,0.409,10,35,0.286,7,10,0.7,8,49,28,6,2,9,15,2018-10-22,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
5,5,"Away","OKC","W",101,95,33,86,0.384,11,32,0.344,24,33,0.727,10,45,19,7,1,11,27,37,94,0.394,7,28,0.25,14,25,0.56,16,57,19,5,6,16,27,2018-10-25,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
6,6,"Away","DET","W",109,89,39,86,0.453,14,34,0.412,17,25,0.68,8,54,25,4,8,13,26,33,89,0.371,7,37,0.189,16,20,0.8,6,47,16,4,3,11,24,2018-10-27,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
7,7,"Home","DET","W",108,105,37,84,0.44,9,31,0.29,25,32,0.781,8,46,25,8,4,14,20,37,88,0.42,8,30,0.267,23,27,0.852,11,50,17,6,3,17,28,2018-10-30,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
8,8,"Home","MIL","W",117,113,41,92,0.446,24,55,0.436,11,13,0.846,8,42,30,5,8,12,23,41,85,0.482,9,29,0.31,22,30,0.733,8,45,20,8,3,14,20,2018-11-01,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
9,9,"Away","IND","L",101,102,38,88,0.432,19,46,0.413,6,9,0.667,10,45,23,6,8,14,20,36,86,0.419,11,32,0.344,19,25,0.76,8,45,23,10,2,13,16,2018-11-03,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
10,10,"Away","DEN","L",107,115,44,87,0.506,9,31,0.29,10,12,0.833,7,40,22,9,9,12,21,41,90,0.456,13,34,0.382,20,28,0.714,15,47,25,5,4,13,14,2018-11-05,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
11,11,"Away","PHO","W",116,109,39,97,0.402,14,37,0.378,24,31,0.774,17,56,21,6,6,16,18,41,93,0.441,11,35,0.314,16,19,0.842,4,42,25,10,6,15,23,2018-11-08,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
12,12,"Away","UTA","L",115,123,39,88,0.443,17,43,0.395,20,22,0.909,5,28,31,11,3,8,20,43,77,0.558,13,34,0.382,24,30,0.8,8,45,29,4,4,16,21,2018-11-09,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
13,13,"Away","POR","L",94,100,36,93,0.387,14,42,0.333,8,10,0.8,11,42,19,11,5,12,16,39,86,0.453,14,36,0.389,8,10,0.8,15,55,22,4,2,21,14,2018-11-11,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
14,14,"Home","CHI","W",111,82,42,90,0.467,15,34,0.441,12,14,0.857,8,51,27,12,5,13,12,33,84,0.393,7,23,0.304,9,9,1,7,47,16,8,3,22,16,2018-11-14,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
15,15,"Home","TOR","W",123,116,47,89,0.528,9,26,0.346,20,24,0.833,9,46,25,9,6,18,23,42,97,0.433,8,29,0.276,24,29,0.828,11,43,20,12,4,13,23,2018-11-16,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
16,16,"Home","UTA","L",86,98,35,91,0.385,5,33,0.152,11,20,0.55,17,51,16,11,4,14,22,35,78,0.449,11,38,0.289,17,27,0.63,7,46,23,11,4,14,23,2018-11-17,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
17,17,"Away","CHO","L",112,117,45,89,0.506,9,32,0.281,13,18,0.722,8,41,31,9,6,12,22,43,89,0.483,15,41,0.366,16,22,0.727,8,44,18,5,3,13,16,2018-11-19,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
18,18,"Home","NYK","L",109,117,38,97,0.392,10,33,0.303,23,32,0.719,15,50,30,10,9,8,16,44,89,0.494,15,30,0.5,14,17,0.824,9,49,25,3,11,17,24,2018-11-21,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
19,19,"Away","ATL","W",114,96,42,91,0.462,13,40,0.325,17,21,0.81,7,43,31,11,7,16,29,35,81,0.432,6,35,0.171,20,29,0.69,5,40,22,9,7,20,26,2018-11-23,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
20,20,"Away","DAL","L",104,113,41,86,0.477,10,28,0.357,12,13,0.923,9,42,19,8,3,17,21,42,87,0.483,16,41,0.39,13,21,0.619,13,43,27,12,3,16,16,2018-11-24,"https://www.basketball-reference.com/teams/BOS/2019/gamelog/"
